A24,BLK 338/340 ANG MO KIO ST 32,1.364753412,103.8493931,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A25,BLK 330/337 ANG MO KIO AVE 8,1.362769307,103.8516223,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A26,BLK 113/114/118 ANG MO KIO AVE 4,1.372770202,103.835447,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A27,BLK 108/109/110 ANG MO KIO ST 11,1.370363052,103.8383192,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A28,BLK 103/105/107 ANG MO KIO ST 11,1.371649928,103.8374631,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A29,BLK 347 ANG MO KIO AVENUE 3,1.367361242,103.8487139,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A30,BLK 129/134 ANG MO KIO STREET 12,1.370989747,103.8424164,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A30A,BLK 133 ANG MO KIO STREET 12,1.370218135,103.8427559,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A31,BLK 119/128 ANG MO KIO ST 12,1.370451119,103.843697,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A31A,BLK 125/126 ANG MO KIO STREET 12,1.37185934,103.8436552,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A33,BLK 253/254 ANG MO KIO STREET 21,1.369886364,103.8345401,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO
A34,BLK 422/425 ANG MO KIO ST 42,1.368356473,103.8516621,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A35,BLK 426/428/435 ANG MO KIO ST 43,1.368646393,103.8540756,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A36,BLK 436/443/445 ANG MO KIO ST 43,1.366407128,103.8552725,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A37,BLK 446/449/453 ANG MO KIO ST 43,1.368113068,103.8555502,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A38,BLK 407/410/421 ANG MO KIO AVE 10,1.363963706,103.8545824,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A39,BLK 401/405 ANG MO KIO AVE 10,1.361151022,103.8540663,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A4,BLK 217/220 ANG MO KIO AVENUE 1,1.365691621,103.8411899,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A40,BLK 471/476 ANG MO KIO ST 44,1.362356151,103.8569754,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A41,BLK 466/470 ANG MO KIO ST 44,1.364936935,103.8569259,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
