Singapore Turf Club (STC),1.284591,103.843259
Singapore Zoological gardens/Night Safari,1.402187,103.788061
Sungei Buloh Wetland Reserve,1.447999,103.724544
The Arts House (Park at New Parliament House),1.288621,103.851085
The Battle Box ( Park at Fort Canning,1.296109,103.846211
Underwater World Singapore,1.258183,103.811225
10 Raeburn Park,1.274026,103.833408
1557 Keppel Road,1.273083,103.840638
34 Boon Leat Terrace,1.276332,103.797175
798 Upper Bukit Timah Road,1.373506,103.763909
8 Shenton Way,1.276129,103.84744
Amara Hotel,1.275335,103.843576
Asia Square,1.278641,103.851079
Bangkok Bank Building,1.279252,103.84778
Bayfront Avenue,1.282088,103.859143
Berjaya Hotel,1.471551,103.783395
Bugis Junction,1.300639,103.854837
Burlington Square,1.30226,103.852629
CapitaCommercial Trust (CCT),1.281939,103.851132
Capital Square,1.284452,103.848478
Capital Tower,1.277737,103.847622
Carlton Hotel,1.295956,103.852819
Central Mall,1.288568,103.842472
Chijmes,1.295188,103.852005
China Square Central,1.283653,103.84699
Chinatown Point,1.285279,103.844986
Clarke Quay,1.290602,103.846474
Clifford Centre,1.283857,103.852378
Conrad Centennial Singapore,1.293438,103.858726
Copthorne King's Hotel,1.288264,103.836658
Copthorne Orchid Hotel,1.28105,103.849841
CPF Building Robinson Road,1.277478,103.84812
DBS Building,1.276743,103.848264
Far East Square,1.282951,103.848613
Far Eastern Bank Building,1.279882,103.848222
Fortune Centre,1.300376,103.852234
Fu Lu Shou Complex,1.301563,103.854399
Fullerton Hotel,1.286353,103.853067
Funan DigitaLife Mall,1.291458,103.84974
Furama City Centre Singapore,1.286496,103.844372
Furama Riverfront Singapore,1.287661,103.836088
Gallery Hotel,1.29029,103.838743
Gillman Barracks,1.278315,103.804399
Golden Mile Complex,1.302606,103.864888
Golden Shoe Complex,1.283984,103.850274
Grand Copthorne Waterfront Hotel,1.290249,103.835135
Grand Pacific Hotel (Formerly Allson Hotel),1.297402,103.85256
Grand Park City Hall,1.292466,103.850017
Great Eastern Centre,1.284767,103.84779
Great World City,1.293374,103.832013
Harbourfront Centre,1.264507,103.820338
Holiday Inn Atrium Singapore,1.288878,103.834491
Hong Leong Building,1.28141,103.851019
Hub Synergy Point (Formerly Apex tower),1.27407,103.84471
Icon Village,1.27526,103.844188
Iluma,1.299718,103.854139
Income At Raffles ( former Hitachi tower),1.284138,103.852583
Inter-continental Singapore Hotel,1.298309,103.855048
International Plaza,1.2757,103.84581
Keck Seng Tower,1.280314,103.848986
Keppel Bay Tower / Harbourfront Tower One,1.264887,103.818275
Keypoint,1.37824,103.865896
"klapsons (The Boutique Hotel)",1.273917,103.842302
Landmark Village Hotel,1.302273,103.857834
Liang Court,1.291587,103.844708
M Hotel,1.273699,103.845035
Mandarin Oriental Hotel,1.29042,103.858276
"Marina Bay Financial Centre Tower 1-3 & Marina Bay Link Mall",1.280283,103.854307
Marina Bay Sands,1.283375,103.860726
Marina Mandarin Hotel,1.291792,103.857118
Marina Square,1.291454,103.857855
Merchant Square,1.288815,103.843665
Millenia Singapore,1.292804,103.85967
Millenia Walk (Basement Car Park),1.292804,103.85967
Millenia Walk (Surface parking @ L1),1.292804,103.85967
Neil Road Off-Street,1.278046,103.840512
North Bridge Centre,1.297136,103.854862
Novotel Clarke Quay,1.291373,103.84485
OCBC centre,1.285462,103.849227
One Fullerton,1.285711,103.853938
One Raffles Quay,1.281087,103.852079
OUB Centre,1.284187,103.851058
OUE Bayfront (Formerly Overseas Union House),1.28285,103.852997
Pan Pacific Hotel,1.292164,103.858739
Parklane Shopping Mall,1.300543,103.849392
PARKROYAL on Beach Road,1.300185,103.860678
Pearl's Centre,1.285783,103.844
Peninsula Excelsior Hotel,1.291929,103.849924
Peninsular Plaza,1.292485,103.85086
People's Park Centre,1.285902,103.843985
PoMo (Fomerly Paradiz Centre),1.300126,103.849316
PWC Building,1.27817,103.852938
Raffles City,1.294012,103.853384
Raffles Hotel,1.294883,103.854479
Republic Plaza,1.283181,103.850873
Resorts World Sentosa,1.255179,103.821811
Robertson Walk,1.291975,103.841458
